alter,automarke,modell,preis,geschlecht
39,Audi,A1,15814,Weiblich
52,Tesla,Model S,50710,Männlich
16,Alfa Romeo,Giulietta,28252,Männlich
77,Jeep,Cherokee,23122,Männlich
22,Opel,Mokka,29247,Männlich
36,Hyundai,Tucson,12073,Männlich
72,Mercedes,GLE,70500,Männlich
77,Mercedes,AMG GT,124710,Männlich
26,Kia,Sportage,9546,Weiblich
79,Citroen,C4,8708,Weiblich
20,Nissan,Micra,39973,Weiblich
43,Renault,Clio,34336,Weiblich
55,Hyundai,Kona,40050,Männlich
38,Mercedes,C-Klasse,118548,Weiblich
26,Honda,Civic,29636,Weiblich
45,Hyundai,Nexo,31370,Weiblich
16,BMW Motorrad,R1250GS,8107,Weiblich
45,Volvo,V90,46554,Weiblich
80,BMW Motorrad,F900R,7240,Weiblich
71,Honda,CR-V,28263,Männlich
29,Peugeot,308,27257,Weiblich
61,BMW,2er,114230,Männlich
52,BMW Motorrad,R1250GS,24579,Weiblich
52,Mazda,Mazda2,36642,Weiblich
46,Mazda,Mazda2,17108,Männlich
28,Mazda,Mazda3,12847,Weiblich
45,Volvo,XC60,27733,Männlich
49,Mazda,Mazda2,31764,Weiblich
54,Tesla,Model Y,47232,Weiblich
26,Ford,Focus,25378,Männlich
64,Nissan,Leaf,8223,Männlich
44,Porsche,Taycan,69262,Weiblich
48,Mazda,Mazda2,24185,Weiblich
16,Toyota,Land Cruiser,48755,Weiblich
72,Audi,A8,44460,Weiblich
18,Volkswagen,Tiguan,14559,Weiblich
69,Jeep,Cherokee,35871,Weiblich
28,Peugeot,5008,11074,Männlich
79,Porsche,Macan,199542,Männlich
58,Mazda,Mazda2,26064,Weiblich
37,Audi,A7,106725,Weiblich
72,Hyundai,Nexo,44035,Männlich
64,Skoda,Fabia,25245,Männlich
30,Kia,Ceed,17529,Weiblich
29,Audi,TT,91661,Männlich
39,Opel,Grandland,11909,Weiblich
79,Peugeot,Partner,7160,Weiblich
80,Skoda,Scala,11580,Männlich
22,Citroen,C5 Aircross,6261,Männlich
38,Hyundai,Tucson,37605,Weiblich
34,Renault,Talisman,28733,Weiblich
71,Renault,Clio,30412,Männlich
58,Mazda,Mazda2,30042,Weiblich
70,Ford,Mustang,18025,Weiblich
17,Nissan,Qashqai,44279,Weiblich
67,BMW,4er,65792,Männlich
40,BMW,4er,49862,Weiblich
72,Ford,Fiesta,27553,Männlich
39,Citroen,C4,28826,Männlich
60,Peugeot,Partner,9336,Weiblich
58,Opel,Astra,22910,Männlich
66,Toyota,Corolla,51751,Männlich
47,Citroen,C5 Aircross,5771,Männlich
19,Opel,Astra,19184,Weiblich
56,Mitsubishi,Space Star,33648,Männlich
25,Volkswagen,Sharan,16012,Männlich
15,BMW Motorrad,F900R,13748,Weiblich
39,Kia,Stonic,20915,Männlich
40,Citroen,C3,8635,Männlich
24,Kia,Rio,41336,Weiblich
48,Tesla,Model X,27063,Weiblich
58,Peugeot,3008,19415,Weiblich
70,Citroen,C5,26147,Männlich
32,Mazda,Mazda6,22715,Weiblich
63,Honda,CR-V,19049,Männlich
77,BMW,3er,34517,Weiblich
67,Nissan,X-Trail,21517,Männlich
31,Mitsubishi,Space Star,13249,Männlich
47,Opel,Zafira,14718,Männlich
79,Toyota,Corolla,21416,Weiblich
21,Nissan,Leaf,31271,Weiblich
19,Volvo,XC90,34705,Männlich
37,Audi,TT,78129,Männlich
64,Peugeot,Partner,14848,Männlich
54,Citroen,C5 Aircross,31543,Weiblich
37,Volvo,XC60,18810,Weiblich
26,Honda,Jazz,15467,Weiblich
31,Mitsubishi,Outlander,23714,Männlich
61,Ford,Edge,36257,Männlich
59,Alfa Romeo,Stelvio,15737,Weiblich
71,Citroen,C4,34409,Weiblich
74,Mercedes,GLC,65391,Männlich
67,Renault,Megane,9309,Männlich
22,Volvo,XC40,58737,Männlich
63,Porsche,Panamera,160034,Männlich
15,Tesla,Model S,73159,Weiblich
21,Nissan,Leaf,26490,Männlich
60,Citroen,C3 Aircross,9831,Männlich
61,Porsche,Macan,136837,Weiblich
21,Citroen,C3,25886,Weiblich
59,Jeep,Compass,37318,Männlich
75,Skoda,Fabia,19765,Männlich
52,Opel,Zafira,20815,Männlich
57,Jeep,Grand Cherokee,43531,Männlich
66,Volkswagen,Sharan,13668,Weiblich
72,Kia,Rio,20991,Männlich
38,Mazda,Mazda3,16152,Männlich
23,Porsche,Cayenne,111219,Weiblich
79,Opel,Insignia,25247,Männlich
59,Land Rover,Range Rover,33556,Weiblich
40,Peugeot,3008,27177,Männlich
30,Skoda,Fabia,35721,Männlich
61,Mercedes,S-Klasse,65415,Weiblich
78,Skoda,Scala,18426,Weiblich
18,Alfa Romeo,MiTo,63820,Weiblich
46,Skoda,Superb,17941,Weiblich
22,Land Rover,Discovery,25803,Männlich
61,Toyota,Yaris,10859,Weiblich
26,Porsche,Cayenne,73532,Männlich
61,Subaru,Outback,21462,Männlich
76,Kia,Ceed,33401,Männlich
29,Volvo,XC60,76816,Weiblich
66,Peugeot,308,18897,Weiblich
37,Skoda,Octavia,39493,Männlich
23,Kia,Ceed,14700,Männlich
36,Land Rover,Defender,108459,Männlich
54,Peugeot,208,15920,Weiblich
39,Mitsubishi,ASX,32970,Weiblich
80,Peugeot,5008,6991,Männlich
44,Ford,Edge,36552,Männlich
24,Peugeot,308,10311,Männlich
44,Audi,TT,73812,Männlich
54,Kia,Stonic,42760,Weiblich
80,Tesla,Model 3,47869,Weiblich
19,Subaru,Forester,16989,Weiblich
53,Renault,Koleos,16110,Weiblich
78,Hyundai,Tucson,17337,Weiblich
78,Hyundai,i10,24421,Weiblich
80,Porsche,Taycan,133477,Weiblich
17,Kia,Stonic,9776,Weiblich
24,Skoda,Kodiaq,36301,Weiblich
79,Renault,Koleos,13117,Weiblich
48,BMW Motorrad,F900R,6643,Männlich
74,Ford,Mondeo,39909,Männlich
60,Nissan,Leaf,12855,Männlich
80,Citroen,C4,10722,Männlich
53,Toyota,RAV4,42327,Weiblich
72,Audi,Q8,93116,Weiblich
77,Honda,HR-V,22496,Weiblich
25,Land Rover,Evoque,96293,Männlich
33,Subaru,Outback,30100,Weiblich
63,Subaru,Forester,29546,Männlich
15,Peugeot,508,21142,Weiblich
64,Opel,Insignia,18077,Männlich
75,Tesla,Model S,56718,Männlich
45,Porsche,Cayenne,186011,Männlich
76,Kia,Seltos,14915,Weiblich
20,Mazda,Mazda2,25940,Weiblich
23,Volkswagen,Tiguan,57330,Männlich
68,Porsche,Cayenne,116962,Männlich
57,Subaru,Outback,33146,Männlich
65,Mitsubishi,ASX,33757,Männlich
17,Peugeot,3008,7570,Weiblich
57,Subaru,Forester,16703,Männlich
21,Ford,Mondeo,25987,Weiblich
34,Nissan,Qashqai,20536,Männlich
39,Audi,A4,25720,Männlich
